	Error
130	0.35919603706186715
131	0.35919603706186715
132	0.35919603706186715
133	0.35919603706186715
134	0.35919603706186715
135	0.35919603706186715
136	0.35919603706186715
137	0.35919603706186715
138	0.35919603706186715
139	0.35919603706186715
140	0.35919603706186715
141	0.35919603706186715
142	0.35919603706186715
143	0.35919603706186715
144	0.35919603706186715
145	0.35919603706186715
146	0.35919603706186715
147	0.35919603706186715
148	0.35919603706186715
149	0.35919603706186715
150	0.35919603706186715
151	0.35919603706186715
152	0.35919603706186715
153	0.35919603706186715
154	0.35919603706186715
155	0.35919603706186715
156	0.35919603706186715
157	0.35919603706186715
158	0.35919603706186715
159	0.35919603706186715
160	0.35919603706186715
161	0.35919603706186715
162	0.35919603706186715
163	0.35919603706186715
164	0.35919603706186715
165	0.35919603706186715
166	0.35919603706186715
167	0.35919603706186715
168	0.35919603706186715
169	0.35919603706186715
170	0.35919603706186715
171	0.35919603706186715
172	0.35919603706186715
173	0.35919603706186715
174	0.35919603706186715
175	0.35919603706186715
176	0.35919603706186715
177	0.35919603706186715
178	0.35919603706186715
179	0.35919603706186715
180	0.35919603706186715
181	0.35919603706186715
182	0.35919603706186715
183	0.35919603706186715
184	0.35919603706186715
185	0.35919603706186715
186	0.35919603706186715
187	0.35919603706186715
188	0.35919603706186715
189	0.35919603706186715
190	0.35919603706186715
191	0.35919603706186715
192	0.35919603706186715
193	0.35919603706186715
194	0.35919603706186715
195	0.35919603706186715
196	0.35919603706186715
197	0.35919603706186715
198	0.35919603706186715
199	0.35919603706186715
200	0.35919603706186715
201	0.35919603706186715
202	0.35919603706186715
203	0.35919603706186715
204	0.35919603706186715
205	0.35919603706186715
206	0.35919603706186715
207	0.35919603706186715
208	0.35919603706186715
209	0.35919603706186715
210	0.35919603706186715
211	0.35919603706186715
212	0.35919603706186715
213	0.3592018132935072
214	0.3592018132935072
215	0.3592018132935072
216	0.3592018132935072
217	0.3592018132935072
218	0.3592018132935072
219	0.3592018132935072
220	0.3592018132935072
221	0.3592018132935072
222	0.3592018132935072
223	0.3592018132935072
224	0.3592018132935072
225	0.3592018132935072
226	0.3592018132935072
227	0.3592018132935072
228	0.3592018132935072
229	0.3592018132935072
230	0.3592018132935072
231	0.3592018132935072
232	0.3592018132935072
233	0.3592018132935072
234	0.3592018132935072
235	0.3592018132935072
236	0.3592018132935072
237	0.3592018132935072
238	0.3592018132935072
239	0.3592018132935072
240	0.3592018132935072
241	0.3592018132935072
242	0.3592018132935072
243	0.3592018132935072
244	0.3592018132935072
245	0.3592018132935072
246	0.3592018132935072
247	0.3592018132935072
248	0.3592018132935072
249	0.3592018132935072
250	0.3592018132935072
251	0.3592018132935072
252	0.3592018132935072
253	0.3592018132935072
254	0.3592018132935072
255	0.3592018132935072
256	0.3592018132935072
257	0.3592018132935072
258	0.3592018132935072
259	0.35921336575678725
260	0.35921336575678725
261	0.35921336575678725
262	0.35921336575678725
263	0.35921336575678725
264	0.35921336575678725
265	0.35921336575678725
266	0.35921336575678725
267	0.35921336575678725
268	0.35921336575678725
269	0.35921336575678725
270	0.35921336575678725
271	0.35921336575678725
272	0.35921336575678725
273	0.35921336575678725
274	0.35921336575678725
275	0.35921336575678725
276	0.35921336575678725
277	0.35921336575678725
278	0.35921336575678725
279	0.35921336575678725
280	0.35921336575678725
281	0.35921336575678725
282	0.35921336575678725
283	0.35921336575678725
284	0.35921336575678725
285	0.35921336575678725
286	0.35921336575678725
287	0.35921336575678725
288	0.35921336575678725
289	0.35921336575678725
290	0.35921336575678725
291	0.35921336575678725
292	0.35921336575678725
293	0.35921336575678725
294	0.35921336575678725
295	0.35921336575678725
296	0.35921336575678725
297	0.35921336575678725
298	0.35921336575678725
299	0.35921336575678725
300	0.35921336575678725
301	0.35921336575678725
302	0.35921336575678725
303	0.35921336575678725
304	0.35921336575678725
305	0.35921336575678725
306	0.35921336575678725
307	0.35921336575678725
308	0.35921336575678725
309	0.35921336575678725
310	0.35921336575678725
311	0.35921336575678725
312	0.35921336575678725
313	0.35921336575678725
314	0.35921336575678725
315	0.35921336575678725
316	0.35921336575678725
317	0.35921336575678725
318	0.35921336575678725
319	0.35921336575678725
320	0.35921336575678725
321	0.35921336575678725
322	0.35921336575678725
323	0.35921336575678725
324	0.35921336575678725
325	0.35921336575678725
326	0.35921336575678725
327	0.35921336575678725
328	0.35921336575678725
329	0.35921336575678725
330	0.35921336575678725
331	0.35921336575678725
332	0.35921336575678725
333	0.35921336575678725
334	0.35921336575678725
335	0.35921336575678725
336	0.35921336575678725
337	0.35921336575678725
338	0.35921336575678725
339	0.35921336575678725
340	0.35921336575678725
341	0.35921336575678725
342	0.35921336575678725
343	0.35921336575678725
344	0.35921336575678725
345	0.35921336575678725
346	0.35921336575678725
347	0.35921336575678725
348	0.35921336575678725
349	0.35921336575678725
350	0.35921336575678725
351	0.35921336575678725
352	0.35921336575678725
353	0.35921336575678725
354	0.35921336575678725
355	0.35921336575678725
356	0.35921336575678725
357	0.35921336575678725
358	0.35921336575678725
359	0.35921336575678725
360	0.35921336575678725
361	0.35921336575678725
362	0.35921336575678725
363	0.35921336575678725
364	0.35921336575678725
365	0.35921336575678725
366	0.35921336575678725
367	0.35921336575678725
368	0.35921336575678725
369	0.35921336575678725
370	0.35921336575678725
371	0.35921336575678725
372	0.35921336575678725
373	0.35921336575678725
374	0.35921336575678725
375	0.35921336575678725
376	0.35921336575678725
377	0.35921336575678725
378	0.35921336575678725
379	0.35921336575678725
380	0.35921336575678725
381	0.35921336575678725
382	0.35921336575678725
383	0.35921336575678725
384	0.35921336575678725
385	0.35921336575678725
386	0.35921336575678725
387	0.35921336575678725
388	0.35921336575678725
389	0.35921336575678725
390	0.35921336575678725
391	0.35921336575678725
392	0.35921336575678725
393	0.35921336575678725
394	0.35921336575678725
395	0.35921336575678725
396	0.35921336575678725
397	0.35921336575678725
398	0.35921336575678725
399	0.35921336575678725
400	0.35921336575678725
401	0.35921336575678725
402	0.35921336575678725
403	0.35921336575678725
404	0.35921336575678725
405	0.35921336575678725
406	0.35921336575678725
407	0.35921336575678725
408	0.35921336575678725
409	0.35921336575678725
410	0.35921336575678725
411	0.35921336575678725
412	0.35921336575678725
413	0.35921336575678725
414	0.35921336575678725
415	0.35921336575678725
416	0.35921336575678725
417	0.35921336575678725
418	0.35921336575678725
419	0.35921336575678725
420	0.35921336575678725
421	0.35921336575678725
422	0.35921336575678725
423	0.35921336575678725
424	0.35921336575678725
425	0.35921336575678725
426	0.35921336575678725
427	0.35921336575678725
428	0.35921336575678725
429	0.35921336575678725
430	0.35921336575678725
431	0.35921336575678725
432	0.35921336575678725
433	0.35921336575678725
434	0.35921336575678725
435	0.35921336575678725
436	0.35921336575678725
437	0.35921336575678725
438	0.35921336575678725
439	0.35921336575678725
440	0.35921336575678725
441	0.35921336575678725
442	0.35921336575678725
443	0.35921336575678725
444	0.35921336575678725
445	0.35921336575678725
446	0.35921336575678725
447	0.35921336575678725
448	0.35921336575678725
449	0.35921336575678725
450	0.35921336575678725
451	0.35921336575678725
452	0.35921336575678725
453	0.35921336575678725
454	0.35921336575678725
455	0.35921336575678725
456	0.35921336575678725
457	0.35921336575678725
458	0.35921336575678725
459	0.35921336575678725
460	0.35921336575678725
461	0.35921336575678725
462	0.35921336575678725
463	0.35921336575678725
464	0.35921336575678725
465	0.35921336575678725
466	0.35921336575678725
467	0.35921336575678725
468	0.35921336575678725
469	0.35921336575678725
470	0.35921336575678725
471	0.35921336575678725
472	0.35921336575678725
473	0.35921336575678725
474	0.35921336575678725
475	0.35921336575678725
476	0.35921336575678725
477	0.35921336575678725
478	0.35921336575678725
479	0.35921336575678725
480	0.35921336575678725
481	0.35921336575678725
482	0.35921336575678725
483	0.35921336575678725
484	0.35921336575678725
