	gram_1	Freq
699	prohibit	3
700	self##sacrifice	61
701	brevity	6
702	disposition	74
703	project	830
704	simulate	18
705	action##related	11
706	commander	23
707	wome	14
708	rest	71
709	pative	3
710	luthans	28
711	korean	27
712	flight	18
713	organational	5
714	step##level	7
715	network	929
716	withdrawal	14
717	cascading	5
718	workplace	291
719	douglas	7
720	implication	505
721	high##level	120
722	dyad##level	13
723	weick	12
724	congruent	86
725	sensory	14
726	father	43
727	dissimilarity	28
728	brokerage	6
729	approval	42
730	crisis	138
731	church	19
732	discuss	543
733	meditational	6
734	generalizability	66
735	china	57
736	pyramid	7
737	self##impose	5
738	adaptation	73
739	formalise	3
740	responsive	38
741	eisenberger	9
742	lowe	25
743	presume	46
744	fiedler_contingency_model_leadership	66
745	patient##oriented	3
746	black	22
747	lone	5
748	diagnostic	12
749	stoffey	5
750	guilty	3
751	excitement	10
752	proximity	25
753	prince	3
754	navigate	8
755	silins	3
756	article	538
757	deconstruct	7
758	service	560
759	technical	127
760	appreciative	9
761	orthodox	3
762	leader##follower##group	5
763	prevailing	12
764	sentiment	9
765	immoral	7
766	keen	9
767	constructionist	38
768	culture	1616
769	voluminous	6
770	germane	4
771	expert	128
772	scheduling	4
773	grunig	7
774	endanger	3
775	stalin	3
776	sight	17
777	scepticism	6
778	mccall	7
779	allow	138
780	respected	28
781	affection	14
782	ascertain	13
783	margin	6
784	good	524
785	compound	16
786	embark	5
787	suboptimal	5
788	low##strain	4
789	hypothesise	13
790	placement	8
791	sustain	123
792	internalization	65
793	bored	6
794	undefined	4
795	utilitarian	3
796	inferior	21
797	roman	3
798	predicament	4
799	occupational	123
800	volume	47
801	bogardus	6
802	scientific	111
803	presupposition	4
804	noteworthy	17
805	fulfill	43
806	run	24
807	film	9
808	bechky	4
809	reestablish	4
810	charm	5
811	flaw	13
812	staw	4
813	groupy	5
814	elaborate	50
815	steel	3
816	distributive	78
817	low##power##distance	25
818	restriction	21
819	dependability	9
820	coordinator	6
821	germany	42
822	congenial	7
823	symbolic	124
824	attendant	5
825	ritter	6
826	vries	15
827	obligate	5
828	variable	1556
829	concur	4
830	videotape	6
831	herzberg	11
832	ropo	7
833	humphreys	3
834	ronald	3
835	alliance	18
836	eliminate	50
837	henderson	3
838	schein	48
839	stereotype	74
840	unfold	31
841	carlyle	4
842	formal	381
843	res	5
844	japans	3
845	comer	7
846	contrasting	12
847	parliament	4
848	have	59
849	reshape	13
850	eschew	8
851	healthier	8
852	morley	8
853	rationale	60
854	sole	17
855	multi##level##analysis	4
856	paramount	11
857	notion	300
858	mayer	30
859	station	9
860	reservation	8
861	laboratory	134
862	supersede	4
863	open##minded	12
864	historian	8
865	provoke	12
866	delineate	16
867	competitor	38
868	conflict	448
869	deteriorate	5
870	suffer	74
871	holmes	3
872	breaking	7
873	relaxation	8
874	contribution	437
875	rater	50
876	artificial	26
877	imite	4
878	biggest	12
879	lock	5
880	resistant	7
881	dismissal	4
882	situational	593
883	ceo	265
884	theoretic	6
885	abraham	3
886	organised	3
887	justice	238
888	transition	79
889	questionnaire	699
890	individual##group##level	6
891	reframe	22
892	warfare	4
893	stajkovic	3
894	member##group	78
895	boundary	176
896	arthur	17
897	role_theory_leadership	37
898	subsystem	11
899	simplest	4
900	desk	3
901	self##define	20
902	consideration##satisfaction	9
903	enquiry	29
904	inspiration	57
905	socialist	3
906	demographic	163
907	arrow	13
908	nonconformity	4
909	nurse	396
910	self##description	7
911	turnaround	6
912	pain	9
913	interpretive	26
914	consider	635
915	self##inclusive	3
916	oldham	14
917	osborn	20
918	humanistic	27
919	subgroup	47
920	immature	9
921	cautious	21
922	unwieldy	4
923	causal	193
924	contexts	317
925	access	120
926	divine	6
927	vacation	4
928	capitalism	8
929	conformist	5
930	more	111
931	shirani	3
932	scant	16
933	strain	35
934	waste	7
935	matrice	3
936	roosevelt	11
937	citizen	21
938	caring	42
939	consumer	22
940	parameter	48
941	afford	30
942	watersh	20
943	assignment	100
944	ethical_leadership_theory##level	3
945	hall	36
946	shaws	8
947	dictate	15
948	bivariate	11
949	tolerate	12
950	flexible	77
951	trivial	8
952	illusory	10
953	normal	49
954	machiavelli	5
955	standpoint	27
956	nurturance	13
957	pathology	3
958	patriotism	3
959	disillusionment	4
960	subconscious	4
961	maintenance	58
962	fishing	3
963	grand	5
964	bycio	9
965	tyler	14
966	recreate	5
967	honest	30
968	creation	249
969	climate	746
970	being	32
971	dispositional	75
972	size	247
973	profitability	29
974	low##medium	3
975	locus	96
976	horton	5
977	judgmental	7
978	earn	32
979	attach	79
980	ned	3
981	antiprototype	11
982	top	7
983	kotters	3
984	managership	3
985	bridge	33
986	sentence	5
987	charbonneau	3
988	revision	34
989	participatory	33
990	cross##level##analysis	3
991	raw	6
992	multi##level	64
993	three##component	26
994	rush	6
995	unable	48
996	leader##follower##leader##follower	4
997	seminal	17
998	collegial	15
999	cross##level	41
1000	self##love	3
1001	baker	6
1002	entrust	3
1003	generative	18
1004	responder	10
1005	staff	314
1006	talkative	3
1007	orchestrate	4
1008	inconsequential	3
1009	alessi	8
1010	comprehensive	167
1011	centralization	31
1012	accurate	61
1013	arrogant	7
1014	low##perform	5
1015	timely	50
1016	monotony	3
1017	discussion	462
1018	carry	147
1019	x##theory	13
1020	antecedent	273
1021	marketplace	19
1022	speaker	13
1023	disparity	11
1024	narcissist	17
1025	fiol	21
